[u'job', u'NowHiring', u'GetHired', u'IT', u'Bernards', u'Hiring']point(40.7066174,-74.5493284)  02/23/2017
[]point(34.1561,-118.132)  02/23/2017
[u'job', u'Legal', u'VariousUSCities', u'Hiring']point(40.7127837,-74.0059413)  02/23/2017
[]point(34.0522,-118.243)  02/23/2017
[u'photo']point(39.53,-119.815)  02/23/2017
[u'hiring', u'CustomerService', u'HermosaBeach', u'Job', u'Jobs', u'CareerArc']point(33.8600693,-118.3987842)  02/23/2017
[u'Innisfil', u'job', u'restaurantlife', u'Hospitality', u'Hiring']point(44.3417656,-79.542666)  02/23/2017
[u'Oscar', u'hanfantheinternetman']point(34.1,-118.33333333)  02/23/2017
[]point(35.796295,-78.635494)  02/23/2017
[u'hiring', u'Hospitality', u'Veterans', u'Job', u'Jobs', u'CareerArc']point(21.401847,-157.7991143)  02/23/2017
[]point(33.9233,-117.889)  02/23/2017
[]point(32.99867208,-96.82853394)  02/23/2017
[]point(33.49438,-111.99504)  02/23/2017
[]point(32.7821999,-96.7675705)  02/23/2017
[u'GetOut']point(30.44784522,-97.66400128)  02/23/2017
[]point(36.7601299,-76.2506)  02/23/2017
[]point(39.88406,-83.45129)  02/23/2017
[u'wonderwoman']point(36.09308928,-115.17719484)  02/23/2017
[u'TrapSushi']point(29.7160201,-95.3493449)  02/23/2017
[u'winter', u'nofilter', u'sunrise']point(44.9975,-92.85555556)  02/23/2017
[]point(34.057,-118.238)  02/23/2017
[u'Williamsport', u'MD', u'Physician', u'Veterans', u'Job', u'Jobs', u'Hiring']point(41.2411897,-77.0010786)  02/23/2017
[u'job', u'Retail', u'NewYork', u'Hiring']point(40.718106,-73.8448469)  02/23/2017
[]point(40.75879,-73.9872199)  02/23/2017
[]point(34.0522,-118.243)  02/23/2017
[]point(40.7142,-74.0064)  02/23/2017
[]point(33.019379,-96.699493)  02/23/2017
[]point(44.47469335,-79.53140527)  02/23/2017
[]point(29.45365162,-98.41490043)  02/23/2017
[u'corestrength', u'coreworkout', u'coretraining', u'strengthtraining']point(30.08109,-81.708846)  02/23/2017
[u'Endomondo', u'endorphins']point(25.438825,-100.938694)  02/23/2017
[u'Decatur', u'Hospitality', u'Job', u'Jobs', u'Hiring']point(33.7748275,-84.2963123)  02/23/2017
